date,code,name,investor,buy_krw,sell_krw,net_krw
2026-01-05,000660,SK하이닉스,개인,937743363500.0,976434315500.0,-38690952000.0
2026-01-05,000660,SK하이닉스,금융투자,175169662500.0,134244445000.0,40925217500.0
2026-01-05,000660,SK하이닉스,연기금,379818854000.0,391172793000.0,-11353939000.0
2026-01-05,000660,SK하이닉스,외국인,1393678226292.0,1349114217792.0,44564008500.0
2026-01-05,005930,삼성전자,개인,2098318108050.0,2045266657300.0,53051450750.0
2026-01-05,005930,삼성전자,금융투자,247619304100.0,352320780550.0,-104701476450.0
2026-01-05,005930,삼성전자,연기금,850879944650.0,877366869900.0,-26486925250.0
2026-01-05,005930,삼성전자,외국인,2427043560150.0,2091127175350.0,335916384800.0
2026-01-05,009150,삼성전기,개인,94346641750.0,64336882250.0,30009759500.0
2026-01-05,009150,삼성전기,금융투자,7329785750.0,13664385000.0,-6334599250.0
2026-01-05,009150,삼성전기,연기금,16018460500.0,15298264000.0,720196500.0
2026-01-05,009150,삼성전기,외국인,46370793750.0,57769809500.0,-11399015750.0
2026-01-06,000660,SK하이닉스,개인,1277906948000.0,1460409014500.0,-182502066500.0
2026-01-06,000660,SK하이닉스,금융투자,261350912500.0,304572598500.0,-43221686000.0
2026-01-06,000660,SK하이닉스,연기금,465034232500.0,468732879000.0,-3698646500.0
2026-01-06,000660,SK하이닉스,외국인,1243486508374.0,1016346593874.0,227139914500.0
2026-01-06,005930,삼성전자,개인,3394123331350.0,1991815636700.0,1402307694650.0
2026-01-06,005930,삼성전자,금융투자,268527371150.0,111384577750.0,157142793400.0
2026-01-06,005930,삼성전자,연기금,783290847300.0,842716443050.0,-59425595750.0
2026-01-06,005930,삼성전자,외국인,1454150214826.0,2976265689976.0,-1522115475150.0
2026-01-06,009150,삼성전기,개인,81082879750.0,68217922000.0,12864957750.0
2026-01-06,009150,삼성전기,금융투자,5671204500.0,16189105500.0,-10517901000.0
2026-01-06,009150,삼성전기,연기금,11267719000.0,21892411250.0,-10624692250.0
2026-01-06,009150,삼성전기,외국인,62166327758.0,45756601008.0,16409726750.0
2026-01-07,000660,SK하이닉스,개인,1186222650000.0,1648721737000.0,-462499087000.0
2026-01-07,000660,SK하이닉스,금융투자,228594600000.0,208726177000.0,19868423000.0
2026-01-07,000660,SK하이닉스,연기금,829298128000.0,812746428000.0,16551700000.0
2026-01-07,000660,SK하이닉스,외국인,1904192356500.0,1363677314000.0,540515042500.0
2026-01-07,005930,삼성전자,개인,2623144791100.0,2541222249250.0,81922541850.0
2026-01-07,005930,삼성전자,금융투자,206367266500.0,352191882300.0,-145824615800.0
2026-01-07,005930,삼성전자,연기금,893965624950.0,932530629250.0,-38565004300.0
2026-01-07,005930,삼성전자,외국인,2695680742638.0,2403441107838.0,292239634800.0
2026-01-07,009150,삼성전기,개인,76248296250.0,93349487750.0,-17101191500.0
2026-01-07,009150,삼성전기,금융투자,6987650750.0,8047520250.0,-1059869500.0
2026-01-07,009150,삼성전기,연기금,19409491000.0,17455745500.0,1953745500.0
2026-01-07,009150,삼성전기,외국인,66915562000.0,46966772500.0,19948789500.0
2026-01-08,000660,SK하이닉스,개인,1624461749000.0,1653976093000.0,-29514344000.0
2026-01-08,000660,SK하이닉스,금융투자,410976352500.0,467269578500.0,-56293226000.0
2026-01-08,000660,SK하이닉스,연기금,724066622000.0,731429911000.0,-7363289000.0
2026-01-08,000660,SK하이닉스,외국인,2060378188472.0,1877878611472.0,182499577000.0
2026-01-08,005930,삼성전자,개인,2912394604450.0,1927769427250.0,984625177200.0
2026-01-08,005930,삼성전자,금융투자,306536130950.0,695262156950.0,-388726026000.0
2026-01-08,005930,삼성전자,연기금,765900691850.0,831008406450.0,-65107714600.0
2026-01-08,005930,삼성전자,외국인,1483771890375.0,2015929682575.0,-532157792200.0
2026-01-08,009150,삼성전기,개인,163861465250.0,205214812750.0,-41353347500.0
2026-01-08,009150,삼성전기,금융투자,26083723250.0,25418797500.0,664925750.0
2026-01-08,009150,삼성전기,연기금,45370908250.0,38889562000.0,6481346250.0
2026-01-08,009150,삼성전기,외국인,92410169500.0,74480504000.0,17929665500.0
2026-01-09,000660,SK하이닉스,개인,1336210695500.0,790149237000.0,546061458500.0
2026-01-09,000660,SK하이닉스,금융투자,357513381000.0,108757768000.0,248755613000.0
2026-01-09,000660,SK하이닉스,연기금,355185098000.0,371387514000.0,-16202416000.0
2026-01-09,000660,SK하이닉스,외국인,1074892955448.0,1788602502948.0,-713709547500.0
2026-01-09,005930,삼성전자,개인,1774780201950.0,1381930879900.0,392849322050.0
2026-01-09,005930,삼성전자,금융투자,477808496500.0,67434971350.0,410373525150.0
2026-01-09,005930,삼성전자,연기금,583011323400.0,642550042850.0,-59538719450.0
2026-01-09,005930,삼성전자,외국인,863137853300.0,1780987559900.0,-917849706600.0
2026-01-09,009150,삼성전기,개인,89242443000.0,49033151000.0,40209292000.0
2026-01-09,009150,삼성전기,금융투자,24556359500.0,1962775750.0,22593583750.0
2026-01-09,009150,삼성전기,연기금,10284212000.0,15272174500.0,-4987962500.0
2026-01-09,009150,삼성전기,외국인,38262518250.0,72840387000.0,-34577868750.0
2026-01-12,000660,SK하이닉스,개인,779316310500.0,850627743500.0,-71311433000.0
2026-01-12,000660,SK하이닉스,금융투자,264282320500.0,161504746500.0,102777574000.0
2026-01-12,000660,SK하이닉스,연기금,425353586000.0,411830358000.0,13523228000.0
2026-01-12,000660,SK하이닉스,외국인,954535473000.0,885498852500.0,69036620500.0
2026-01-12,005930,삼성전자,개인,1635155939600.0,1014457161050.0,620698778550.0
2026-01-12,005930,삼성전자,금융투자,346472179100.0,134008620750.0,212463558350.0
2026-01-12,005930,삼성전자,연기금,543000578950.0,608530438800.0,-65529859850.0
2026-01-12,005930,삼성전자,외국인,828456658352.0,1775971837602.0,-947515179250.0
2026-01-12,009150,삼성전기,개인,83212682500.0,140451470500.0,-57238788000.0
2026-01-12,009150,삼성전기,금융투자,19547025000.0,5498911000.0,14048114000.0
2026-01-12,009150,삼성전기,연기금,21627292000.0,18428485250.0,3198806750.0
2026-01-12,009150,삼성전기,외국인,68286397000.0,35476000250.0,32810396750.0
2026-01-13,000660,SK하이닉스,개인,1393251146000.0,815627749000.0,577623397000.0
2026-01-13,000660,SK하이닉스,금융투자,230560755000.0,185968106500.0,44592648500.0
2026-01-13,000660,SK하이닉스,연기금,341359629500.0,359792247000.0,-18432617500.0
2026-01-13,000660,SK하이닉스,외국인,728230101500.0,1326709577500.0,-598479476000.0
2026-01-13,005930,삼성전자,개인,1299837612750.0,1000934851850.0,298902760900.0
2026-01-13,005930,삼성전자,금융투자,220636513850.0,168211649650.0,52424864200.0
2026-01-13,005930,삼성전자,연기금,435159664200.0,447704865600.0,-12545201400.0
2026-01-13,005930,삼성전자,외국인,842623417050.0,1362019427850.0,-519396010800.0
2026-01-13,009150,삼성전기,개인,80891279500.0,99407332500.0,-18516053000.0
2026-01-13,009150,삼성전기,금융투자,24286512000.0,4004940500.0,20281571500.0
2026-01-13,009150,삼성전기,연기금,19721210000.0,16897465750.0,2823744250.0
2026-01-13,009150,삼성전기,외국인,47088446000.0,58288379750.0,-11199933750.0
2026-01-14,000660,SK하이닉스,개인,701867583000.0,673814417000.0,28053166000.0
2026-01-14,000660,SK하이닉스,금융투자,296746957000.0,135852027500.0,160894929500.0
2026-01-14,000660,SK하이닉스,연기금,348357629000.0,319781148000.0,28576481000.0
2026-01-14,000660,SK하이닉스,외국인,2198546359632.0,2401192218132.0,-202645858500.0
2026-01-14,005930,삼성전자,개인,744088979550.0,1240281957300.0,-496192977750.0
2026-01-14,005930,삼성전자,금융투자,337342157400.0,92680356500.0,244661800900.0
2026-01-14,005930,삼성전자,연기금,336888959050.0,324357687900.0,12531271150.0
2026-01-14,005930,삼성전자,외국인,851816579588.0,827830053888.0,23986525700.0
2026-01-14,009150,삼성전기,개인,60868893750.0,39160207500.0,21708686250.0
2026-01-14,009150,삼성전기,금융투자,10003551250.0,6199761250.0,3803790000.0
2026-01-14,009150,삼성전기,연기금,21203802250.0,22596223750.0,-1392421500.0
2026-01-14,009150,삼성전기,외국인,23362784000.0,48331314000.0,-24968530000.0
2026-01-15,000660,SK하이닉스,개인,635989502000.0,753511236500.0,-117521734500.0
2026-01-15,000660,SK하이닉스,금융투자,412702765500.0,82710173500.0,329992592000.0
2026-01-15,000660,SK하이닉스,연기금,324281888000.0,324498018500.0,-216130500.0
2026-01-15,000660,SK하이닉스,외국인,785782277800.0,965068213300.0,-179285935500.0
2026-01-15,005930,삼성전자,개인,960603810300.0,1773584256000.0,-812980445700.0
2026-01-15,005930,삼성전자,금융투자,665983418750.0,82886250350.0,583097168400.0
2026-01-15,005930,삼성전자,연기금,496277194150.0,513000257050.0,-16723062900.0
2026-01-15,005930,삼성전자,외국인,1059309708500.0,1020566311700.0,38743396800.0
2026-01-15,009150,삼성전기,개인,49405266500.0,61165400500.0,-11760134000.0
2026-01-15,009150,삼성전기,금융투자,17967984500.0,6334453750.0,11633530750.0
2026-01-15,009150,삼성전기,연기금,19122289250.0,12883115750.0,6239173500.0
2026-01-15,009150,삼성전기,외국인,34430639250.0,41277832750.0,-6847193500.0
2026-01-16,000660,SK하이닉스,개인,874784543500.0,979703866000.0,-104919322500.0
2026-01-16,000660,SK하이닉스,금융투자,280683949000.0,96746990000.0,183936959000.0
2026-01-16,000660,SK하이닉스,연기금,372130043000.0,353625623500.0,18504419500.0
2026-01-16,000660,SK하이닉스,외국인,1160063770608.0,1267362682108.0,-107298911500.0
2026-01-16,005930,삼성전자,개인,1668133324500.0,2198162522050.0,-530029197550.0
2026-01-16,005930,삼성전자,금융투자,300085638400.0,106521151650.0,193564486750.0
2026-01-16,005930,삼성전자,연기금,615467321200.0,624384979300.0,-8917658100.0
2026-01-16,005930,삼성전자,외국인,1466492526434.0,1343088085584.0,123404440850.0
2026-01-16,009150,삼성전기,개인,76245664500.0,69748968250.0,6496696250.0
2026-01-16,009150,삼성전기,금융투자,8686148000.0,12682373250.0,-3996225250.0
2026-01-16,009150,삼성전기,연기금,16258556000.0,22336726250.0,-6078170250.0
2026-01-16,009150,삼성전기,외국인,64028087970.0,53691254220.0,10336833750.0
2026-01-19,000660,SK하이닉스,개인,886221075000.0,1165635231500.0,-279414156500.0
2026-01-19,000660,SK하이닉스,금융투자,252677760000.0,94756603000.0,157921157000.0
2026-01-19,000660,SK하이닉스,연기금,492918262000.0,511524842500.0,-18606580500.0
2026-01-19,000660,SK하이닉스,외국인,811548911000.0,747094605000.0,64454306000.0
2026-01-19,005930,삼성전자,개인,1508425770200.0,1621251003400.0,-112825233200.0
2026-01-19,005930,삼성전자,금융투자,177770030250.0,192745760950.0,-14975730700.0
2026-01-19,005930,삼성전자,연기금,500145104500.0,555751322600.0,-55606218100.0
2026-01-19,005930,삼성전자,외국인,864536452585.0,876376063785.0,-11839611200.0
2026-01-19,009150,삼성전기,개인,48861253750.0,62635840750.0,-13774587000.0
2026-01-19,009150,삼성전기,금융투자,6513304000.0,8736074500.0,-2222770500.0
2026-01-19,009150,삼성전기,연기금,18386384250.0,18649898000.0,-263513750.0
2026-01-19,009150,삼성전기,외국인,52019905500.0,30518664250.0,21501241250.0
2026-01-20,000660,SK하이닉스,개인,911550870000.0,730355304500.0,181195565500.0
2026-01-20,000660,SK하이닉스,금융투자,164253979000.0,252489800000.0,-88235821000.0
2026-01-20,000660,SK하이닉스,연기금,344357346000.0,375448213000.0,-31090867000.0
2026-01-20,000660,SK하이닉스,외국인,589723520000.0,596623030500.0,-6899510500.0
2026-01-20,005930,삼성전자,개인,1902541478400.0,1412886692800.0,489654785600.0
2026-01-20,005930,삼성전자,금융투자,185917145200.0,351453662950.0,-165536517750.0
2026-01-20,005930,삼성전자,연기금,481784183550.0,531962068150.0,-50177884600.0
2026-01-20,005930,삼성전자,외국인,638850711286.0,1067784459936.0,-428933748650.0
2026-01-20,009150,삼성전기,개인,92133694250.0,64120198750.0,28013495500.0
2026-01-20,009150,삼성전기,금융투자,9988496000.0,15341077750.0,-5352581750.0
2026-01-20,009150,삼성전기,연기금,13126254000.0,30429298500.0,-17303044500.0
2026-01-20,009150,삼성전기,외국인,36907587500.0,29596855500.0,7310732000.0
2026-01-21,000660,SK하이닉스,개인,1008147901500.0,976078015000.0,32069886500.0
